date,steps
2020-04-01,1706
2020-04-02,3034
2020-04-03,2543
2020-04-04,3014
2020-04-05,6148
2020-04-06,10128
2020-04-07,3079
2020-04-08,4641
2020-04-09,5439
2020-04-10,3291
2020-04-11,8338
2020-04-12,8313
2020-04-13,6183
2020-04-14,3912
2020-04-15,4950
2020-04-16,4498
2020-04-17,3136
2020-04-18,7889
2020-04-19,5055
2020-04-20,3766
2020-04-21,6520
2020-04-22,5192
2020-04-23,2240
2020-04-24,7717
2020-04-25,3688
2020-04-26,5347
2020-04-27,6814
2020-04-28,6199
2020-04-29,4530
2020-04-30,6739